val_loss,epoch,step,train_loss
1.3080441035929247,0,6,
1.1520125192336395,1,13,
0.18316834475589985,2,20,
0.24553126134210423,3,27,
0.06259408236133664,4,34,
0.03360809635124747,5,41,
0.03490351106175758,6,48,
,7,49,0.037086194996281296
0.009399358137908109,7,55,
0.0022517509086025277,8,62,
0.0024195671403718145,9,69,
0.0020387342933640795,10,76,
0.0012571041798043936,11,83,
0.0008994184993092347,12,90,
0.0005599156179909848,13,97,
,14,99,-0.0010483773111555905
0.0006001534205480219,14,104,
0.0002301072904608681,15,111,
0.0010267848570314974,16,118,
0.0010895141416456867,17,125,
0.0001884057729349209,18,132,
5.510227840654025e-05,19,139,
0.00023317106473228933,20,146,
,21,149,-0.01373484677126946
0.0012319770751043357,21,153,
0.0008135441542132505,22,160,
0.0017804423601116958,23,167,
0.0026313615804711434,24,174,
