train_loss,epoch,step,val_loss
-1.368215824095774,0,49,
-1.7532371506934308,0,99,
-1.625952769823988,0,149,
-1.879918587867071,0,199,
-1.932014204517222,0,249,
,0,249,-1.7196646465947574
-1.7102820004965908,1,299,
-2.1369802723111464,1,349,
-1.558901276422394,1,399,
-2.1056281231966807,1,449,
-2.0914618428705243,1,499,
,1,499,-1.921343498415216
-1.83496218127584,2,549,
-2.227438666420219,2,599,
-1.7616596790851453,2,649,
-2.0329825324219604,2,699,
-2.1170996596246887,2,749,
,2,749,-1.710239936895862
-2.052678724913502,3,799,
-2.2164242468677564,3,849,
-1.9192951437651558,3,899,
-2.0695712659834244,3,949,
-2.062830968045393,3,999,
,3,999,-1.971310839682377
-1.720929661396997,4,1049,
-2.2555026124276507,4,1099,
-2.12080474456761,4,1149,
-2.1647888757155624,4,1199,
-2.1552104471874958,4,1249,
,4,1249,-2.0008428605032065
-1.9961188011832773,5,1299,
-2.3199302800643173,5,1349,
-2.0580087826880904,5,1399,
-2.1425760962944644,5,1449,
-2.248074296794651,5,1499,
,5,1499,-2.001302796316293
-2.0791496949535064,6,1549,
-2.2377510007531436,6,1599,
-2.0263996543708562,6,1649,
-2.139463343366666,6,1699,
-2.218818389519709,6,1749,
,6,1749,-1.9616697132222867
-1.7841421833295463,7,1799,
-2.283975534314758,7,1849,
-2.092312852707054,7,1899,
-2.115768374306935,7,1949,
-2.225775830618157,7,1999,
,7,1999,-1.8979605854253134
-2.059588992171333,8,2049,
-2.335095329211406,8,2099,
-2.1381461410294027,8,2149,
-2.1596182383185725,8,2199,
-2.252007781495647,8,2249,
,8,2249,-1.9403013739719859
-2.128530596222552,9,2299,
-2.3021571135910706,9,2349,
-2.2784533046526474,9,2399,
-2.272170196354711,9,2449,
-2.217280367889824,9,2499,
,9,2499,-2.0802458679689595
-2.153921063415087,10,2549,
-2.3187451323509847,10,2599,
-2.1443890453016476,10,2649,
-2.18285469003189,10,2699,
-2.110830814267654,10,2749,
,10,2749,-1.8971764045960342
-2.0755363555917477,11,2799,
-2.3861744587303706,11,2849,
-2.229730342366068,11,2899,
-2.1036252512714,11,2949,
-2.1732232176914406,11,2999,
,11,2999,-2.0460362688360108
-2.093533629008604,12,3049,
-2.2922014224710505,12,3099,
-2.279899517364525,12,3149,
-2.1754190590119857,12,3199,
-2.154178116615113,12,3249,
,12,3249,-2.001263138032651
-2.1142757713876974,13,3299,
-2.359812210560639,13,3349,
-2.1979339000846756,13,3399,
-2.168744379549051,13,3449,
-2.2519901864527823,13,3499,
,13,3499,-2.0915304167717137
-2.1497579527673363,14,3549,
-2.351792566004719,14,3599,
-2.3606370120038136,14,3649,
-2.216917351810006,14,3699,
-2.2242920130886965,14,3749,
,14,3749,-2.030259519976759
-2.2484091704835585,15,3799,
-2.406887076691405,15,3849,
-2.234730044353826,15,3899,
-2.1850626182004924,15,3949,
-2.2445347785280036,15,3999,
,15,3999,-1.9666367116845653
-2.127364065194901,16,4049,
-2.319300431780926,16,4099,
-2.313520018763147,16,4149,
-2.1789953977012644,16,4199,
-2.2587897295837127,16,4249,
,16,4249,-2.063533240327623
-2.1359038300253337,17,4299,
-2.3904426501248293,17,4349,
-2.2888057120805447,17,4399,
-2.237476697637728,17,4449,
-2.194668511728316,17,4499,
,17,4499,-2.0668476086745775
-2.1022667151695797,18,4549,
-2.3869034637917554,18,4599,
-2.218075013320008,18,4649,
-2.1566717335797096,18,4699,
-2.2896249202499868,18,4749,
,18,4749,-2.048168883919804
