train_loss,epoch,step,val_loss
-1.9033117942823807,0,49,
-2.4476292829354294,0,99,
-2.4084756614235587,0,149,
-2.7176119062544224,0,199,
-2.76159335297111,0,249,
,0,249,-2.161176162555035
-2.4946715628192964,1,299,
-2.6428184379802393,1,349,
-2.813246550112307,1,399,
-3.030012828591981,1,449,
-2.9421336812777077,1,499,
,1,499,-2.665917797661623
-2.5956533689183887,2,549,
-2.843416668103324,2,599,
-2.687071590294479,2,649,
-3.2790714258557476,2,699,
-2.8000271327164747,2,749,
,2,749,-2.6443526982653363
-2.8227426027730704,3,799,
-2.81944981241134,3,849,
-2.9791991084467653,3,899,
-3.228291732687086,3,949,
-2.7993347521328866,3,999,
,3,999,-2.775967808577734
-2.785611092850308,4,1049,
-2.930082774673501,4,1099,
-2.9267291078566724,4,1149,
-3.176940634773365,4,1199,
-2.9348640212623396,4,1249,
,4,1249,-2.5179037920839415
-2.645001100976333,5,1299,
-2.795920164008421,5,1349,
-3.0143016413916004,5,1399,
-3.2162723728544376,5,1449,
-2.8939834741742745,5,1499,
,5,1499,-2.7382504534420384
-2.6824913000945734,6,1549,
-2.8991816903679783,6,1599,
-2.7942526312325358,6,1649,
-3.283802010937576,6,1699,
-2.9986039399912596,6,1749,
,6,1749,-2.8255113580186246
-2.720347965335746,7,1799,
-3.0178787841024577,7,1849,
-2.8829783322488,7,1899,
-3.3139891293788217,7,1949,
-2.8617143581921196,7,1999,
,7,1999,-2.67435788170588
-2.733011883348943,8,2049,
-3.1230651739851902,8,2099,
-3.057730320551356,8,2149,
-3.136866286966259,8,2199,
-3.047697287465553,8,2249,
,8,2249,-2.931402594595679
-2.6131320206565922,9,2299,
-3.1988127883174022,9,2349,
-3.0196078392013055,9,2399,
-3.381834438070094,9,2449,
-3.012393810544175,9,2499,
,9,2499,-2.7610338606889595
-2.5311991519249393,10,2549,
-3.14423259319348,10,2599,
-3.1759104827915285,10,2649,
-3.421927708724076,10,2699,
-3.0156955506130463,10,2749,
,10,2749,-2.6513419326400194
-2.7921098501725417,11,2799,
-3.0936032878773396,11,2849,
-2.9817855388750725,11,2899,
-3.363502748668191,11,2949,
-3.1326363878333296,11,2999,
,11,2999,-2.9310065128608267
-2.7734588425714524,12,3049,
-3.1012272674447963,12,3099,
-3.016318306835793,12,3149,
-3.354752582570894,12,3199,
-3.050062860323993,12,3249,
,12,3249,-2.8092137908022496
-2.7954044112108156,13,3299,
-3.0979401611627955,13,3349,
-2.9568932997216177,13,3399,
-3.438994528547356,13,3449,
-3.017733630170027,13,3499,
,13,3499,-2.864308459978588
