train_loss,epoch,step,val_loss
-1.2629733919221258,0,49,
-1.363973455248017,0,99,
-1.8426101706662528,0,149,
-1.4894795256305844,0,199,
-1.7536415942133936,0,249,
,0,249,-1.6751255153850186
-1.6112857362615376,1,299,
-1.656648168585257,1,349,
-1.7163375740142597,1,399,
-1.8233882587777623,1,449,
-1.9531324126543996,1,499,
,1,499,-1.8339078797310486
-1.9426885534845257,2,549,
-1.8470251189370566,2,599,
-2.0148426935723367,2,649,
-1.8931181882896744,2,699,
-1.9630799480147758,2,749,
,2,749,-1.932971400378062
-1.8007903799054523,3,799,
-1.9424056332417454,3,849,
-1.9103815269382078,3,899,
-1.9228538693653268,3,949,
-1.8944049900264328,3,999,
,3,999,-1.9610694663986787
-1.9128864029752481,4,1049,
-1.7831461381586113,4,1099,
-2.03303648178854,4,1149,
-1.8329906066255295,4,1199,
-2.070204156748681,4,1249,
,4,1249,-2.0152622526142374
-1.6139427264878028,5,1299,
-1.8823561784628837,5,1349,
-1.9484617235145616,5,1399,
-1.928044955807668,5,1449,
-2.066243243434192,5,1499,
,5,1499,-2.003996776555682
-2.0014418049702494,6,1549,
-1.5751696853481627,6,1599,
-2.0139376973807197,6,1649,
-1.921815680227711,6,1699,
-2.120605021952299,6,1749,
,6,1749,-2.0616278433329454
-1.9828814977873708,7,1799,
-1.929019816021409,7,1849,
-2.1048528838922618,7,1899,
-1.9985570083662134,7,1949,
-2.255076345914753,7,1999,
,7,1999,-2.0373719199000564
-2.0758939026823273,8,2049,
-1.9805899984640292,8,2099,
-2.0951243965290836,8,2149,
-2.139410560225553,8,2199,
-2.1700304587114494,8,2249,
,8,2249,-2.0153426125541185
-1.8563024258413634,9,2299,
-1.8859335318334125,9,2349,
-1.8425470216570634,9,2399,
-2.0120190192351126,9,2449,
-2.1269464197844465,9,2499,
,9,2499,-1.9028284478519788
-1.898281359927459,10,2549,
-2.039797578263922,10,2599,
-2.004871566541627,10,2649,
-2.0241833079646088,10,2699,
-2.099972733264538,10,2749,
,10,2749,-1.9973865351828584
-1.96225608207972,11,2799,
-2.2143127597768095,11,2849,
-2.1091792884865015,11,2899,
-2.0223236437020393,11,2949,
-2.153301620545224,11,2999,
,11,2999,-2.0659167804498524
-1.7678737824459048,12,3049,
-2.2045051605122943,12,3099,
-2.1554992534091975,12,3149,
-2.148392525754751,12,3199,
-2.2551447345492535,12,3249,
,12,3249,-2.0741772050480085
-1.875863281047896,13,3299,
-2.2656845983407656,13,3349,
-1.989675602585206,13,3399,
-1.9659850991667658,13,3449,
-2.08050453152506,13,3499,
,13,3499,-2.1012944322474105
-1.7887273568072315,14,3549,
-2.1030428971449755,14,3599,
-2.0878021122938133,14,3649,
-2.1727057110895722,14,3699,
-2.053791277584359,14,3749,
,14,3749,-2.0575854884856466
-1.978140509140775,15,3799,
-2.2363422009590224,15,3849,
-2.1660631180846965,15,3899,
-2.1736503651027013,15,3949,
-2.2627019183661257,15,3999,
,15,3999,-2.0894397663039035
-1.7440362342351765,16,4049,
-2.2635058796468823,16,4099,
-2.005199752046867,16,4149,
-2.07311195053924,16,4199,
-2.2271466958347137,16,4249,
,16,4249,-2.1208948856438252
-1.591731796341847,17,4299,
-2.1775246757819975,17,4349,
-1.9164527104006497,17,4399,
-2.0754997664906982,17,4449,
-2.060207502694833,17,4499,
,17,4499,-1.9842566400400186
-1.9553293359919581,18,4549,
-2.179089229807751,18,4599,
-1.9724045215024457,18,4649,
-2.2216317514536184,18,4699,
-2.200838940272863,18,4749,
,18,4749,-2.0886419221956545
-2.036116406705668,19,4799,
-2.057926551699958,19,4849,
-1.9851441141022126,19,4899,
-2.174819174464635,19,4949,
-2.0795174013865743,19,4999,
,19,4999,-2.135805136500876
-1.9824198752650852,20,5049,
-2.374063830753444,20,5099,
-2.203438071804848,20,5149,
-2.1797029197957425,20,5199,
-2.226250812079073,20,5249,
,20,5249,-2.0981054642991843
-2.0183331314312953,21,5299,
-2.3431655155211653,21,5349,
-2.231963198789843,21,5399,
-2.218960039565245,21,5449,
-2.2065994425344937,21,5499,
,21,5499,-2.1452950175450614
-2.1140898085037874,22,5549,
-2.1217498974824327,22,5599,
-2.050389488031927,22,5649,
-2.325913226193671,22,5699,
-2.3264457306597244,22,5749,
,22,5749,-2.1190563026206406
-2.11992626676028,23,5799,
-2.344629261003957,23,5849,
-2.097657575817343,23,5899,
-2.076348476690576,23,5949,
-2.255948323301464,23,5999,
,23,5999,-2.119717528952668
-2.0787836143172855,24,6049,
-2.4312722415849617,24,6099,
-1.969769153197448,24,6149,
-2.173539575955491,24,6199,
-2.132130706540569,24,6249,
,24,6249,-2.054287780910044
-1.8463596289026383,25,6299,
-2.341944545744436,25,6349,
-1.7810073254832417,25,6399,
-2.136815419255946,25,6449,
-2.383361912988227,25,6499,
,25,6499,-2.121812844747828
-2.08060166661807,26,6549,
-2.309301313954948,26,6599,
-2.1640713487481116,26,6649,
-2.224683441904356,26,6699,
-2.2553612542257797,26,6749,
,26,6749,-2.1399523358628554
