train_loss,epoch,step,val_loss
-1.2686743144465367,0,49,
-1.648589681433691,0,99,
-1.5936702936808154,0,149,
-1.9431358587469676,0,199,
-1.8702790330282217,0,249,
,0,249,-1.651737133162244
-1.7701479699637785,1,299,
-1.775357856096664,1,349,
-1.6625034937499754,1,399,
-2.024542771250061,1,449,
-1.833242085002962,1,499,
,1,499,-1.67942757459451
-1.9577020920501162,2,549,
-1.7562620966435578,2,599,
-1.822592273661174,2,649,
-2.1451737702664544,2,699,
-1.972219002866306,2,749,
,2,749,-1.4847098911969414
-1.9957873918250995,3,799,
-1.7523230743893738,3,849,
-1.965103384001363,3,899,
-2.0291210059406044,3,949,
-1.9141204204198154,3,999,
,3,999,-1.6084935202467574
-1.9566892120103254,4,1049,
-1.9129371534166006,4,1099,
-1.9621864532599287,4,1149,
-2.1014469385869945,4,1199,
-2.11710536869656,4,1249,
,4,1249,-1.735603575946464
-1.9280000301014202,5,1299,
-1.8346093608832037,5,1349,
-1.8998317570712666,5,1399,
-2.178512551373962,5,1449,
-2.0221907782002475,5,1499,
,5,1499,-1.7412969663005504
-1.9827205476528484,6,1549,
-1.7874932761765245,6,1599,
-1.9886019767085472,6,1649,
-2.2041144163741464,6,1699,
-1.9495098974491978,6,1749,
,6,1749,-1.7274676157980795
-2.023868777107923,7,1799,
-1.7785584108525774,7,1849,
-1.943744950704073,7,1899,
-2.197132093752662,7,1949,
-1.9988572753338236,7,1999,
,7,1999,-1.6988512812239773
-2.0719693097653704,8,2049,
-1.9055526723090064,8,2099,
-1.9588496114409986,8,2149,
-2.19141293490533,8,2199,
-1.98380510024701,8,2249,
,8,2249,-1.7432306270024294
-2.0128643451713684,9,2299,
-1.8590739170090995,9,2349,
-1.848850884940216,9,2399,
-2.1108365689670068,9,2449,
-2.0177838081829513,9,2499,
,9,2499,-1.763393358406424
-2.0121016644165994,10,2549,
-1.8165273753376074,10,2599,
-1.844037812365869,10,2649,
-2.160489463584482,10,2699,
-1.9773863203703828,10,2749,
,10,2749,-1.7812685079580621
-2.0467149190045317,11,2799,
-1.896453727004038,11,2849,
-2.0355446121515506,11,2899,
-2.25172679186198,11,2949,
-2.052475768232397,11,2999,
,11,2999,-1.7032288401179607
-1.9897945583453158,12,3049,
-1.7864977898053018,12,3099,
-1.9584298826543707,12,3149,
-2.148440435563129,12,3199,
-1.981954804220813,12,3249,
,12,3249,-1.7661073655769606
-2.0916573510280223,13,3299,
-1.8079164109889523,13,3349,
-2.02884026375306,13,3399,
-2.2340588257681153,13,3449,
-2.0818299326626457,13,3499,
,13,3499,-1.784457430488105
-2.0739412509659783,14,3549,
-1.7678899871051472,14,3599,
-1.739783905866551,14,3649,
-2.216031579404711,14,3699,
-2.043532630322595,14,3749,
,14,3749,-1.7671421303706667
-2.0168965688668203,15,3799,
-1.8799159587636076,15,3849,
-1.9210565246502258,15,3899,
-2.24519634856288,15,3949,
-2.0200722562478424,15,3999,
,15,3999,-1.7220632119259374
-1.9839762928240263,16,4049,
-1.8725283602969125,16,4099,
-1.8673224260950332,16,4149,
-2.1403806286905924,16,4199,
-1.9771516219390044,16,4249,
,16,4249,-1.7023275957597772
-2.0198868901838964,17,4299,
-1.8935468215333864,17,4349,
-1.8859803645864937,17,4399,
-2.197738125517832,17,4449,
-2.0768672497491156,17,4499,
,17,4499,-1.7011870254195578
-2.1627603666552417,18,4549,
-1.9530653872792272,18,4599,
-2.0042543280761187,18,4649,
-2.2537598928422815,18,4699,
-2.093033794542585,18,4749,
,18,4749,-1.7592645480675155
