val_loss,epoch,step,train_loss
0.6290409564971924,0,12,
0.06187588721513748,1,25,
0.0456964485347271,2,38,
,3,49,0.012408733367919922
0.002878475235775113,3,51,
0.003844356629997492,4,64,
0.0021839523687958717,5,77,
0.002262907102704048,6,90,
,7,99,-0.00028395652770996094
0.0020471953321248293,7,103,
0.0017965888837352395,8,116,
0.0027037239633500576,9,129,
0.005333900451660156,10,142,
,11,149,0.001971721649169922
0.0025095557793974876,11,155,
0.004823789466172457,12,168,
0.006084861699491739,13,181,
